node_id,node_type,node_subtype,degree,source,source_edge,name,notes,display_group,display_color,display_label,infra_field,infra_type,infra_class,infra_category,infra_name,display_name,gate_name,gate_name_status,needs_gate_name_review,snap_dist_m,index_right,grid_x,grid_y,grid_id,lat,lon,cell_seq,grid_node_code
INF_0307,infrastructure,barrier:gate,,infrastructure,E06009,Unnamed gate,useful_infrastructure; barrier:gate,infrastructure,#7f7f7f,Entrance / gate,barrier,gate,Entrance / gate,Entrance / gate,Unnamed gate,Unnamed gate,,missing_name,True,0.0,0,1,1,11,40.7675767,-73.9716415,55,11055
INF_0288,infrastructure,amenity:toilets,,infrastructure,E06013,Toilets,useful_infrastructure; amenity:toilets,infrastructure,#1f77b4,Restroom,amenity,toilets,Restroom,Restroom,Toilets,Toilets,,,False,9.32632871121537,0,1,1,11,40.76750539658533,-73.97210915657364,60,11060
INF_0105,infrastructure,amenity:drinking_water,,infrastructure,E06013,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,8.250873589675983,0,1,1,11,40.767390198231375,-73.97183227302584,63,11063
INF_0290,infrastructure,amenity:toilets,,infrastructure,E09115,Toilets,useful_infrastructure; amenity:toilets,infrastructure,#1f77b4,Restroom,amenity,toilets,Restroom,Restroom,Toilets,Toilets,,,False,10.116918544999294,0,1,1,11,40.76734663651967,-73.97149086472902,64,11064
INF_0043,infrastructure,amenity:drinking_water,,infrastructure,E09114,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,1.187948546719261,0,1,1,11,40.76730662820667,-73.97133240564891,65,11065
INF_0098,infrastructure,amenity:drinking_water,,infrastructure,E01408,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,5.9068405143824645,0,1,1,11,40.76714521535432,-73.97189045380216,66,11066
INF_0027,infrastructure,amenity:cafe,,infrastructure,E01408,Dancing Crane Cafe,useful_infrastructure; amenity:cafe,infrastructure,#ff7f0e,Food / cafe,amenity,cafe,Food / cafe,Food / cafe,Dancing Crane Cafe,Dancing Crane Cafe,,,False,14.424669500003194,0,1,1,11,40.76712127935627,-73.97190748373495,67,11067
INF_0044,infrastructure,amenity:drinking_water,,infrastructure,E06513,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,1.5403095811012613,0,1,1,11,40.76607792645666,-73.97354770683144,75,11075
INF_0278,infrastructure,tourism:artwork,,infrastructure,E06158,Thomas Moore,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Thomas Moore,Thomas Moore,,,False,7.820435962644776,0,1,1,11,40.76587481381634,-73.97330575382924,78,11078
INF_0058,infrastructure,amenity:drinking_water,,infrastructure,E03116,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,2.3884284163021188,1,1,2,12,40.772129991511505,-73.9712817687116,1,12001
INF_0349,infrastructure,tourism:artwork,,infrastructure,E03040,Women's Rights Pioneers Monument,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Women's Rights Pioneers Monument,Women's Rights Pioneers Monument,,,False,12.452467865410572,1,1,2,12,40.77081985823146,-73.97235216958518,8,12008
INF_0129,infrastructure,tourism:artwork,,infrastructure,E02987,Fitz-Greene Halleck,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Fitz-Greene Halleck,Fitz-Greene Halleck,,,False,9.470028250030976,1,1,2,12,40.77068776255767,-73.97224442437697,10,12010
INF_0158,infrastructure,tourism:artwork,,infrastructure,E06918,Indian Hunter,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Indian Hunter,Indian Hunter,,,False,3.7120940861440843,1,1,2,12,40.770406418396206,-73.97313163860184,13,12013
INF_0247,infrastructure,tourism:artwork,,infrastructure,E02987,Robert Burns,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Robert Burns,Robert Burns,,,False,10.684763859532392,1,1,2,12,40.77016607689248,-73.97244435841202,17,12017
INF_0259,infrastructure,tourism:artwork,,infrastructure,E02987,Sir Walter Scott,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Sir Walter Scott,Sir Walter Scott,,,False,9.284890538010206,1,1,2,12,40.77016409585633,-73.97244511763013,18,12018
INF_0248,infrastructure,tourism:information,,infrastructure,E02987,Robert Burns,useful_infrastructure; tourism:information,infrastructure,#9467bd,Information / landmark,tourism,information,Information / landmark,Information / landmark,Robert Burns,Robert Burns,,,False,8.366822828449603,1,1,2,12,40.77015911755358,-73.97244702552925,20,12020
INF_0081,infrastructure,amenity:drinking_water,,infrastructure,E02994,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,3.6254126705294034,1,1,2,12,40.770002180682,-73.97259666169012,24,12024
INF_0024,infrastructure,tourism:artwork,,infrastructure,E03002,Christopher Columbus,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Christopher Columbus,Christopher Columbus,,,False,3.545823796857976,1,1,2,12,40.769893263967646,-73.9727339159511,27,12027
INF_0348,infrastructure,tourism:artwork,,infrastructure,E02971,William Shakespeare,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,William Shakespeare,William Shakespeare,,,False,4.07469197126536,1,1,2,12,40.76981493099777,-73.97241362934946,30,12030
INF_0160,infrastructure,tourism:information,,infrastructure,E02963,Information,useful_infrastructure; tourism:information,infrastructure,#9467bd,Information / landmark,tourism,information,Information / landmark,Information / landmark,Information,Information,,,False,1.4056353523427063,1,1,2,12,40.76922342867439,-73.9737965810891,44,12044
INF_0271,infrastructure,tourism:information,,infrastructure,E02953,The Dairy (Visitor Center and Gift Shop),useful_infrastructure; tourism:information,infrastructure,#9467bd,Information / landmark,tourism,information,Information / landmark,Information / landmark,The Dairy (Visitor Center and Gift Shop),The Dairy (Visitor Center and Gift Shop),,,False,4.487064830865045,1,1,2,12,40.76906046069354,-73.97372886156356,47,12047
INF_0263,infrastructure,tourism:attraction,,infrastructure,E06053,Snow Leopard,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Snow Leopard,Snow Leopard,,,False,11.677482064327444,1,1,2,12,40.7685655,-73.9724386,51,12051
INF_0244,infrastructure,tourism:attraction,,infrastructure,E06057,Red Panda,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Red Panda,Red Panda,,,False,18.898582323500708,1,1,2,12,40.76835333153157,-73.97257608595088,54,12054
INF_0300,infrastructure,tourism:attraction,,infrastructure,E06038,Tortoise,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Tortoise,Tortoise,,,False,8.047909047554233,1,1,2,12,40.76792575218526,-73.97276705924554,63,12063
INF_0132,infrastructure,tourism:attraction,,infrastructure,E06095,Gapstow Bridge,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Gapstow Bridge,Gapstow Bridge,,,False,0.050600873836560915,1,1,2,12,40.76692789385255,-73.97382982057637,80,12080
INF_0172,infrastructure,tourism:artwork,,infrastructure,E00933,José Martí,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,José Martí,José Martí,,,False,4.689396077069648,1,1,2,12,40.766034189313466,-73.97611976527725,94,12094
INF_0258,infrastructure,tourism:artwork,,infrastructure,E09426,Simón Bolívar,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Simón Bolívar,Simón Bolívar,,,False,6.938296312714499,1,1,2,12,40.76565389409751,-73.9758189859304,98,12098
INF_0103,infrastructure,amenity:drinking_water,,infrastructure,E00957,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,7.349176936368756,1,1,2,12,40.76556373311143,-73.97507645397675,99,12099
INF_0125,infrastructure,tourism:artwork,,infrastructure,E08996,Eagles and Prey,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Eagles and Prey,Eagles and Prey,,,False,5.998479332550417,2,1,3,13,40.77247500781549,-73.97246209530613,3,13003
INF_0067,infrastructure,amenity:drinking_water,,infrastructure,E09005,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,2.8223448078795665,2,1,3,13,40.77247317862953,-73.9720410413183,4,13004
INF_0304,infrastructure,barrier:gate,,infrastructure,E07922,Unnamed gate,useful_infrastructure; barrier:gate,infrastructure,#7f7f7f,Entrance / gate,barrier,gate,Entrance / gate,Entrance / gate,Unnamed gate,Unnamed gate,,missing_name,True,0.0,2,1,3,13,40.77167599999999,-73.9733886,11,13011
INF_0210,infrastructure,leisure:pitch,,infrastructure,E06898,Pitch,useful_infrastructure; leisure:pitch,infrastructure,#e377c2,Recreation,leisure,pitch,Recreation,Recreation,Pitch,Pitch,,,False,8.81189329060386,2,1,3,13,40.77089702724956,-73.97351875100503,13,13013
INF_0148,infrastructure,leisure:pitch,,infrastructure,E06711,Heckscher Ballfield 1,useful_infrastructure; leisure:pitch,infrastructure,#e377c2,Recreation,leisure,pitch,Recreation,Recreation,Heckscher Ballfield 1,Heckscher Ballfield 1,,,False,23.07571385543145,2,1,3,13,40.76987017909033,-73.97583224726168,27,13027
INF_0019,infrastructure,tourism:attraction,,infrastructure,E12247,Central Park Carousel,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Central Park Carousel,Central Park Carousel,,,False,13.880538759512358,2,1,3,13,40.769861799999994,-73.9751221,28,13028
INF_0155,infrastructure,leisure:playground,,infrastructure,E06359,Hecksher Playground,useful_infrastructure; leisure:playground,infrastructure,#e377c2,Recreation,leisure,playground,Recreation,Recreation,Hecksher Playground,Hecksher Playground,,,False,54.17348589583001,2,1,3,13,40.76832291441329,-73.97682072827689,56,13056
INF_0330,infrastructure,entrance:yes,,infrastructure,E06360,Unnamed yes entrance,useful_infrastructure; entrance:yes,infrastructure,#7f7f7f,Entrance / gate,entrance,yes,Entrance / gate,Entrance / gate,Unnamed yes entrance,Unnamed yes entrance,,missing_name,True,29.434918738105907,2,1,3,13,40.76823419358191,-73.9769367395472,59,13059
INF_0296,infrastructure,amenity:toilets,,infrastructure,E06360,Toilets,useful_infrastructure; amenity:toilets,infrastructure,#1f77b4,Restroom,amenity,toilets,Restroom,Restroom,Toilets,Toilets,,,False,19.684125233972672,2,1,3,13,40.768232460059984,-73.97693920356002,60,13060
INF_0108,infrastructure,amenity:drinking_water,,infrastructure,E06360,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,8.958393669792256,2,1,3,13,40.768216272320764,-73.97696221266001,61,13061
INF_0031,infrastructure,amenity:drinking_water,,infrastructure,E06209,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,0.014736352282221914,2,1,3,13,40.76761337889798,-73.97601915959395,64,13064
INF_0110,infrastructure,amenity:drinking_water,,infrastructure,E00339,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,10.515985130075892,2,1,3,13,40.76718582508905,-73.97703142958166,69,13069
INF_0026,infrastructure,amenity:shelter,,infrastructure,E12264,Cop Cot,useful_infrastructure; amenity:shelter,infrastructure,#8c564b,Shelter,amenity,shelter,Shelter,Shelter,Cop Cot,Cop Cot,,,False,5.699373755446776,2,1,3,13,40.766878399999996,-73.976502,72,13072
INF_0173,infrastructure,tourism:artwork,,infrastructure,E06455,José de San Martín,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,José de San Martín,José de San Martín,,,False,4.429895384093452,2,1,3,13,40.76600816626591,-73.97665593586429,83,13083
